,Battle Number,Battle Label,Round,Competitor 1,Competitor 2,Nationality 1,Nationality 2,First,Second,Round Winner,Round Winner Order,Battle Winner,Ken Swift,Poe One,Reveal,Kid David,Kowloon,Competitor 1 Votes,Competitor 2 Votes
0,1,Top 16,Round 1,Zip Rock,Panda,Russia,Russia,Zip Rock,Panda,Zip Rock,First,Panda,-1,1,-1,1,-1,3,2
1,1,Top 16,Round 2,Zip Rock,Panda,Russia,Russia,Zip Rock,Panda,Panda,Second,Panda,1,1,1,1,1,0,5
2,1,Top 16,Round 3,Zip Rock,Panda,Russia,Russia,Zip Rock,Panda,Panda,Second,Panda,1,1,-1,-1,1,2,3
3,2,Top 16,Round 1,Karma,River,China,Worldwide,River,Karma,River,First,River,-1,-1,1,1,1,2,3
4,2,Top 16,Round 2,Karma,River,China,Worldwide,River,Karma,River,First,River,1,1,1,-1,1,1,4
5,3,Top 16,Round 1,Gun,Cafrey Cat,Russia,China,Cafrey Cat,Gun,Cafrey Cat,First,Gun,1,-1,1,1,1,1,4
6,3,Top 16,Round 2,Gun,Cafrey Cat,Russia,China,Cafrey Cat,Gun,Gun,Second,Gun,-1,-1,-1,-1,-1,5,0
7,3,Top 16,Round 3,Gun,Cafrey Cat,Russia,China,Cafrey Cat,Gun,Gun,Second,Gun,-1,-1,-1,-1,-1,5,0
8,4,Top 16,Round 1,Disa,Breath,Russia,Worldwide,Breath,Disa,Disa,Second,Disa,-1,-1,-1,-1,-1,5,0
9,4,Top 16,Round 2,Disa,Breath,Russia,Worldwide,Breath,Disa,Disa,Second,Disa,-1,-1,-1,-1,-1,5,0
10,5,Top 16,Round 1,YDJ,Davy,China,China,YDJ,Davy,YDJ,First,Davy,-1,-1,-1,-1,1,4,1
11,5,Top 16,Round 2,YDJ,Davy,China,China,YDJ,Davy,Davy,Second,Davy,-1,-1,1,1,1,2,3
12,5,Top 16,Round 3,YDJ,Davy,China,China,YDJ,Davy,Davy,Second,Davy,1,1,1,0,1,0,4
13,6,Top 16,Round 1,Vicious,Chenie Chen,Canada,China,Chenie Chen,Vicious,Chenie Chen,First,Vicious,1,1,1,1,-1,1,4
14,6,Top 16,Round 2,Vicious,Chenie Chen,Canada,China,Chenie Chen,Vicious,Tie,Tie,Vicious,1,-1,-1,1,0,2,2
15,6,Top 16,Round 3,Vicious,Chenie Chen,Canada,China,Chenie Chen,Vicious,Vicious,Second,Vicious,0,-1,-1,-1,-1,4,0
16,6,Top 16,Round 4,Vicious,Chenie Chen,Canada,China,Chenie Chen,Vicious,Vicious,Second,Vicious,-1,-1,-1,-1,-1,5,0
17,7,Top 16,Round 1,Wenlong,Sniper,China,China,Wenlong,Sniper,Sniper,Second,Sniper,1,1,1,-1,-1,2,3
18,7,Top 16,Round 2,Wenlong,Sniper,China,China,Wenlong,Sniper,Sniper,Second,Sniper,1,1,1,1,1,0,5
19,8,Top 16,Round 1,Lil G,Undercut,Venezuela,China,Undercut,Lil G,Lil G,Second,Lil G,-1,-1,-1,-1,-1,5,0
20,8,Top 16,Round 2,Lil G,Undercut,Venezuela,China,Undercut,Lil G,Lil G,Second,Lil G,-1,-1,-1,-1,-1,5,0
21,9,Top 8,Round 1,Panda,River,Russia,Worldwide,Panda,River,River,Second,River,1,1,1,-1,1,1,4
22,9,Top 8,Round 2,Panda,River,Russia,Worldwide,Panda,River,River,Second,River,1,1,1,1,1,0,5
23,10,Top 8,Round 1,Gun,Disa,Russia,Russia,Disa,Gun,Disa,First,Gun,1,1,1,1,1,0,5
24,10,Top 8,Round 2,Gun,Disa,Russia,Russia,Disa,Gun,Gun,Second,Gun,1,-1,-1,1,-1,3,2
25,10,Top 8,Round 3,Gun,Disa,Russia,Russia,Disa,Gun,Gun,Second,Gun,-1,-1,1,-1,-1,4,1
26,11,Top 8,Round 1,Davy,Vicious,China,Canada,Davy,Vicious,Vicious,Second,Vicious,0,1,1,-1,1,1,3
27,11,Top 8,Round 2,Davy,Vicious,China,Canada,Davy,Vicious,Tie,Tie,Vicious,1,-1,-1,1,0,2,2
28,11,Top 8,Round 3,Davy,Vicious,China,Canada,Davy,Vicious,Vicious,Second,Vicious,1,1,1,1,1,0,5
29,12,Top 8,Round 1,Sniper,Lil G,China,Venezuela,Sniper,Lil G,Lil G,Second,Lil G,1,1,1,1,1,0,5
30,12,Top 8,Round 2,Sniper,Lil G,China,Venezuela,Sniper,Lil G,Sniper,First,Lil G,-1,0,-1,-1,-1,4,0
31,12,Top 8,Round 3,Sniper,Lil G,China,Venezuela,Sniper,Lil G,Lil G,Second,Lil G,1,1,1,1,1,0,5
32,13,Semifinal,Round 1,River,Gun,Worldwide,Russia,Gun,River,Gun,First,Gun,0,1,-1,1,1,1,3
33,13,Semifinal,Round 2,River,Gun,Worldwide,Russia,Gun,River,Gun,First,Gun,1,1,1,1,1,0,5
34,14,Semifinal,Round 1,Vicious,Lil G,Canada,Venezuela,Lil G,Vicious,Lil G,First,Lil G,1,1,1,1,1,0,5
35,14,Semifinal,Round 2,Vicious,Lil G,Canada,Venezuela,Lil G,Vicious,Tie,Tie,Lil G,1,-1,-1,1,0,2,2
36,14,Semifinal,Round 3,Vicious,Lil G,Canada,Venezuela,Lil G,Vicious,Lil G,First,Lil G,1,1,1,1,1,0,5
37,15,Final,Round 1,Gun,Lil G,Russia,Venezuela,Gun,Lil G,Gun,First,Lil G,-1,-1,-1,-1,1,4,1
38,15,Final,Round 2,Gun,Lil G,Russia,Venezuela,Gun,Lil G,Lil G,Second,Lil G,1,1,1,1,1,0,5
