Battle Number,Battle Label,Round,Competitor 1,Competitor 2,First,Second,Round Winner,Round Winner Order,Battle Winner,Storm,Renegade,Roxrite,Ronnie,Focus,Competitor 1 Votes,Competitor 2 Votes
1,Top 16,1,Cri6,Victor,Victor,Cri6,Victor,First,Victor,1,1,1,1,1,0,5
1,Top 16,2,Cri6,Victor,Victor,Cri6,Victor,First,Victor,1,1,1,1,1,0,5
2,Top 16,1,Tawfiq,Shlag,Shlag,Tawfiq,Tawfiq,Second,Shlag,-1,-1,-1,-1,-1,5,0
2,Top 16,2,Tawfiq,Shlag,Shlag,Tawfiq,Shlag,First,Shlag,-1,1,1,-1,1,2,3
2,Top 16,3,Tawfiq,Shlag,Shlag,Tawfiq,Shlag,First,Shlag,1,1,1,1,1,0,5
3,Top 16,1,Create,Lussy Sky,Lussy Sky,Create,Create,Second,Create,-1,-1,1,-1,-1,4,1
3,Top 16,2,Create,Lussy Sky,Lussy Sky,Create,Create,Second,Create,-1,1,-1,-1,1,3,2
4,Top 16,1,Justen,Stepper,Justen,Stepper,Justen,First,Justen,1,-1,-1,-1,-1,4,1
4,Top 16,2,Justen,Stepper,Justen,Stepper,Stepper,Second,Justen,1,-1,-1,1,1,2,3
4,Top 16,3,Justen,Stepper,Justen,Stepper,Justen,First,Justen,-1,-1,1,-1,-1,4,1
5,Top 16,1,Yarko,Kid Colombia,Kid Colombia,Yarko,Kid Colombia,First,Kid Colombia,1,1,1,1,1,0,5
5,Top 16,2,Yarko,Kid Colombia,Kid Colombia,Yarko,Kid Colombia,First,Kid Colombia,1,1,1,1,1,0,5
6,Top 16,1,Makita,Kuzya,Kuzya,Makita,Kuzya,First,Kuzya,1,-1,1,1,1,1,4
6,Top 16,2,Makita,Kuzya,Kuzya,Makita,Kuzya,First,Kuzya,1,1,1,1,1,0,5
7,Top 16,1,Grazy,Drud,Drud,Grazy,Drud,First,Grazy,1,1,1,1,-1,1,4
7,Top 16,2,Grazy,Drud,Drud,Grazy,Grazy,Second,Grazy,1,-1,-1,-1,-1,4,1
7,Top 16,3,Grazy,Drud,Drud,Grazy,Grazy,Second,Grazy,-1,1,-1,1,-1,3,2
8,Top 16,1,Tonio,Kleju,Kleju,Tonio,Kleju,First,Kleju,1,-1,1,1,1,1,4
8,Top 16,2,Tonio,Kleju,Kleju,Tonio,Kleju,First,Kleju,1,1,1,1,-1,1,4
9,Top 8,1,Victor,Justen,Justen,Victor,Victor,Second,Victor,-1,-1,1,-1,-1,4,1
9,Top 8,2,Victor,Justen,Justen,Victor,Victor,Second,Victor,-1,-1,-1,-1,-1,5,0
10,Top 8,1,Kuzya,Create,Kuzya,Create,Kuzya,First,Kuzya,-1,-1,-1,1,-1,4,1
10,Top 8,2,Kuzya,Create,Kuzya,Create,Kuzya,First,Kuzya,-1,-1,-1,-1,-1,5,0
11,Top 8,1,Kid Colombia,Shlag,Kid Colombia,Shlag,Kid Colombia,First,Shlag,-1,-1,1,1,-1,3,2
11,Top 8,2,Kid Colombia,Shlag,Kid Colombia,Shlag,Shlag,Second,Shlag,1,1,1,1,1,0,5
11,Top 8,3,Kid Colombia,Shlag,Kid Colombia,Shlag,Shlag,Second,Shlag,-1,1,1,1,1,1,4
12,Top 8,1,Kleju,Grazy,Kleju,Grazy,Grazy,Second,Grazy,1,-1,1,1,1,1,4
12,Top 8,2,Kleju,Grazy,Kleju,Grazy,Grazy,Second,Grazy,-1,1,1,1,1,1,4
13,Semifinal,1,Victor,Shlag,Shlag,Victor,Victor,Second,Victor,-1,-1,-1,-1,-1,5,0
13,Semifinal,2,Victor,Shlag,Shlag,Victor,Victor,Second,Victor,1,-1,-1,-1,-1,4,1
14,Semifinal,1,Kuzya,Grazy,Grazy,Kuzya,Kuzya,Second,Kuzya,-1,-1,1,-1,-1,4,1
14,Semifinal,2,Kuzya,Grazy,Grazy,Kuzya,Kuzya,Second,Kuzya,-1,-1,-1,-1,-1,5,0
15,Final,1,Victor,Kuzya,Kuzya,Victor,Victor,Second,Victor,-1,-1,-1,-1,-1,5,0
15,Final,2,Victor,Kuzya,Kuzya,Victor,Victor,Second,Victor,-1,-1,-1,-1,-1,5,0
15,Final,3,Victor,Kuzya,Kuzya,Victor,Victor,Second,Victor,-1,-1,1,-1,1,3,2
