Battle Number,Battle Label,Round,Competitor 1,Competitor 2,Nationality 1,Nationality 2,First,Second,Round Winner,Round Winner Order,Battle Winner,Poe One,Kosto ,Focus,Reveal,Renegade,Competitor 1 Votes,Competitor 2 Votes
1,Top 16,1,Tip Top T ,Shigekix,,,Shigekix,Tip Top T,Shigekix,,Shigekix,1,1,1,1,1,,
1,Top 16,2,Tip Top T ,Shigekix,,,Shigekix,Tip Top T,Tip Top T,,Shigekix,-1,1,-1,1,-1,,
1,Top 16,3,Tip Top T ,Shigekix,,,Shigekix,Tip Top T,Shigekix,,Shigekix,-1,1,1,-1,1,,
2,Top 16,1,Noe,Luan,,,Luan,Noe,Noe,,Luan,-1,-1,1,-1,-1,,
2,Top 16,2,Noe,Luan,,,Luan,Noe,Luan,,Luan,1,-1,1,1,-1,,
2,Top 16,3,Noe,Luan,,,Luan,Noe,Luan,,Luan,1,1,1,1,1,,
3,Top 16,1,Apache,Dr Hill,,,Apache,Dr. Hill,Dr. Hill,,Dr. Hill,1,1,1,1,1,,
3,Top 16,2,Apache,Dr Hill,,,Apache,Dr. Hill,Apache,,Dr. Hill,1,-1,-1,-1,-1,,
3,Top 16,3,Apache,Dr Hill,,,Apache,Dr. Hill,Dr. Hill,,Dr. Hill,1,-1,1,-1,1,,
4,Top 16,1,Snake,Drud,,,Drud,Snake,Drud,,Drud,-1,-1,1,1,1,,
4,Top 16,2,Snake,Drud,,,Drud,Snake,Snake,,Drud,-1,-1,-1,-1,1,,
4,Top 16,3,Snake,Drud,,,Drud,Snake,Drud,,Drud,1,-1,1,1,-1,,
5,Top 16,1,Flamingo,Uzee Rock,,,Flamingo,Uzee Rock,Uzee Rock,,Uzee Rock,1,1,1,-1,1,,
5,Top 16,2,Flamingo,Uzee Rock,,,Flamingo,Uzee Rock,Uzee Rock,,Uzee Rock,1,1,1,1,1,,
6,Top 16,1,Double D,Spin,,,Double D,Spin,Spin,,Spin,1,1,1,1,1,,
6,Top 16,2,Double D,Spin,,,Double D,Spin,Spin,,Spin,1,1,1,1,-1,,
7,Top 16,1,XXL,Lussy Sky,,,XXL,Lussy Sky,Lussy Sky,,Lussy Sky,1,1,1,-1,1,,
7,Top 16,2,XXL,Lussy Sky,,,XXL,Lussy Sky,Lussy Sky,,Lussy Sky,-1,1,1,1,1,,
8,Top 16,1,Sapa,Kuzya,,,Kuzya,Sapa,Kuzya,,Kuzya,1,-1,1,1,1,,
8,Top 16,2,Sapa,Kuzya,,,Kuzya,Sapa,Kuzya,,Kuzya,-1,-1,1,1,1,,
9,Top 8,1,Luan,Shigekix,,,Luan,Shigekix,Shigekix,,Shigekix,1,1,-1,1,1,,
9,Top 8,2,Luan,Shigekix,,,Luan,Shigekix,Shigekix,,Shigekix,-1,1,1,1,-1,,
10,Top 8,1,Drud,Dr. Hill,,,Drud,Dr. Hill,Dr. Hill,,Dr. Hill,-1,1,-1,1,1,,
10,Top 8,2,Drud,Dr. Hill,,,Drud,Dr. Hill,Dr. Hill,,Dr. Hill,1,1,-1,1,-1,,
11,Top 8,1,Uzee Rock,Kuzya,,,Uzee Rock,Kuzya,Kuzya,,Kuzya,1,1,1,1,1,,
11,Top 8,2,Uzee Rock,Kuzya,,,Uzee Rock,Kuzya,Kuzya,,Kuzya,-1,1,1,1,1,,
12,Top 8,1,Lussy Sky,Spin,,,Lussy Sky,Spin,Spin,,Spin,1,1,1,1,1,,
12,Top 8,2,Lussy Sky,Spin,,,Lussy Sky,Spin,Spin,,Spin,1,1,1,1,1,,
13,Semifinal,1,Dr. Hill,Shigekix,,,Shigekix,Dr. Hill,Dr. Hill,,Dr. Hill,-1,-1,1,-1,-1,,
13,Semifinal,2,Dr. Hill,Shigekix,,,Shigekix,Dr. Hill,Shigekix,,Dr. Hill,-1,1,1,1,-1,,
13,Semifinal,3,Dr. Hill,Shigekix,,,Shigekix,Dr. Hill,Dr. Hill,,Dr. Hill,-1,-1,-1,1,1,,
14,Semifinal,1,Spin,Kuzya,,,Kuzya,Spin,Kuzya,,Kuzya,1,-1,1,1,1,,
14,Semifinal,2,Spin,Kuzya,,,Kuzya,Spin,Spin,,Kuzya,-1,-1,1,-1,1,,
14,Semifinal,3,Spin,Kuzya,,,Kuzya,Spin,Kuzya,,Kuzya,1,-1,-1,1,1,,
15,Final,1,Dr. Hill,Kuzya,,,Kuzya,Dr. Hill,Kuzya,,Kuzya,1,1,1,1,1,,
15,Final,2,Dr. Hill,Kuzya,,,Kuzya,Dr. Hill,Kuzya,,Kuzya,1,1,1,1,1,,
