Battle Number,Battle Label,Round,Competitor 1,Competitor 2,Nationality 1,Nationality 2,First,Second,Round Winner,Round Winner Order,Battle Winner,El Nino,Taisuke,Renegade,Moy,Reveal,Competitor 1 Votes,Competitor 2 Votes
1,Top 16,Round 1,Shigekix,Kaneki,Japan,Italy,Kaneki,Shigekix,Shigekix,Second,Shigekix,-1,-1,-1,-1,-1,5,0
1,Top 16,Round 2,Shigekix,Kaneki,Japan,Italy,Kaneki,Shigekix,Shigekix,Second,Shigekix,-1,-1,-1,-1,-1,5,0
2,Top 16,Round 1,Nord Diamond,Snap,Russia,Italy,Nord Diamond,Snap,Nord Diamond,First,Nord Diamond,-1,-1,-1,1,1,3,2
2,Top 16,Round 2,Nord Diamond,Snap,Russia,Italy,Nord Diamond,Snap,Nord Diamond,First,Nord Diamond,-1,-1,-1,-1,-1,5,0
3,Top 16,Round 1,Bad Matty,Tawfiq,Italy,Netherlands,Tawfiq,Bad Matty,Tawfiq,First,Tawfiq,-1,1,1,1,1,1,4
3,Top 16,Round 2,Bad Matty,Tawfiq,Italy,Netherlands,Tawfiq,Bad Matty,Tawfiq,First,Tawfiq,1,1,1,1,1,0,5
4,Top 16,Round 1,Phil Wizard,Ayane,Canada,Japan,Ayane,Phil Wizard,Phil Wizard,Second,Phil Wizard,-1,-1,-1,-1,-1,5,0
4,Top 16,Round 2,Phil Wizard,Ayane,Canada,Japan,Ayane,Phil Wizard,Phil Wizard,Second,Phil Wizard,-1,-1,-1,-1,-1,5,0
5,Top 16,Round 1,Mini Joe,Ayaa,Venezuela,France,Mini Joe,Ayaa,Mini Joe,First,Mini Joe,-1,1,1,-1,-1,3,2
5,Top 16,Round 2,Mini Joe,Ayaa,Venezuela,France,Mini Joe,Ayaa,Mini Joe,First,Mini Joe,-1,-1,-1,1,-1,4,1
6,Top 16,Round 1,Mowgly,Chau-Lin,Italy,Germany,Mowgly,Chau-Lin,Mowgly,First,Mowgly,-1,1,1,-1,-1,3,2
6,Top 16,Round 2,Mowgly,Chau-Lin,Italy,Germany,Mowgly,Chau-Lin,Mowgly,First,Mowgly,-1,-1,-1,-1,-1,5,0
7,Top 16,Round 1,Onel,Nice,Greece,Nice,Onel,Nice,Nice,Second,Onel,1,1,-1,-1,1,2,3
7,Top 16,Round 2,Onel,Nice,Greece,Nice,Onel,Nice,Onel,First,Onel,-1,1,-1,1,-1,3,2
7,Top 16,Round 3,Onel,Nice,Greece,Nice,Onel,Nice,Onel,First,Onel,-1,-1,-1,-1,1,4,1
8,Top 16,Round 1,Daniel,Lorenzo,Norway,Netherlands,Daniel,Lorenzo,Daniel,First,Daniel,-1,1,1,-1,-1,3,2
8,Top 16,Round 2,Daniel,Lorenzo,Norway,Netherlands,Daniel,Lorenzo,Daniel,First,Daniel,-1,1,-1,1,-1,3,2
9,Top 8,Round 1,Shigekix,Nord Diamond,Japan,Russia,Shigekix,Nord Diamond,Shigekix,First,Shigekix,-1,-1,-1,-1,-1,5,0
9,Top 8,Round 2,Shigekix,Nord Diamond,Japan,Russia,Shigekix,Nord Diamond,Shigekix,First,Shigekix,-1,-1,-1,-1,-1,5,0
10,Top 8,Round 1,Tawfiq,Phil Wizard,Netherlands,Canada,Tawfiq,Phil Wizard,Phil Wizard,Second,Phil Wizard,1,1,1,1,1,0,5
10,Top 8,Round 2,Tawfiq,Phil Wizard,Netherlands,Canada,Tawfiq,Phil Wizard,Phil Wizard,Second,Phil Wizard,1,1,1,1,1,0,5
11,Top 8,Round 1,Mini Joe,Mowgly,Venezuela,Mowgly,Mowgly,Mini Joe,Mowgly,First,Mowgly,1,-1,1,-1,1,2,3
11,Top 8,Round 2,Mini Joe,Mowgly,Venezuela,Mowgly,Mowgly,Mini Joe,Mowgly,First,Mowgly,1,-1,-1,1,1,2,3
12,Top 8,Round 1,Onel,Daniel,Greece,Norway,Daniel,Onel,Daniel,First,Daniel,1,1,1,-1,1,1,4
12,Top 8,Round 2,Onel,Daniel,Greece,Norway,Daniel,Onel,Daniel,First,Daniel,-1,1,1,-1,1,2,3
13,Semifinal,Round 1,Shigekix,Phil Wizard,Japan,Canada,Shigekix,Phil Wizard,Phil Wizard,Second,Phil Wizard,1,1,1,1,-1,1,4
13,Semifinal,Round 2,Shigekix,Phil Wizard,Japan,Canada,Shigekix,Phil Wizard,Phil Wizard,Second,Phil Wizard,-1,1,1,1,1,1,4
14,Semifinal,Round 1,Mowgly,Daniel,Italy,Norway,Daniel,Mowgly,Mowgly,Second,Mowgly,-1,-1,-1,-1,-1,5,0
14,Semifinal,Round 2,Mowgly,Daniel,Italy,Norway,Daniel,Mowgly,Mowgly,Second,Mowgly,-1,-1,-1,-1,-1,5,0
15,Final,Round 1,Phil Wizard,Mowgly,Canada,Italy,Mowgly,Phil Wizard,Phil Wizard,Second,Phil Wizard,-1,-1,-1,-1,-1,5,0
15,Final,Round 2,Phil Wizard,Mowgly,Canada,Italy,Mowgly,Phil Wizard,Phil Wizard,Second,Phil Wizard,-1,-1,-1,-1,-1,5,0
