Battle Number,Battle Label,Round,Competitor 1,Competitor 2,First,Second,Round Winner,Round Winner Order,Battle Winner,Lil John,AT,Abstrak,Dyzee,Renegade,Competitor 1 Votes,Competitor 2 Votes
1,Top 16,1,Lil G,NoIndex,NoIndex,Lil G,Lil G,Second,Lil G,-1,-1,-1,-1,-1,5,0
1,Top 16,2,Lil G,NoIndex,NoIndex,Lil G,Lil G,Second,Lil G,-1,-1,-1,-1,-1,5,0
2,Top 16,1,Yarko,Milhouse,Milhouse,Yarko,Yarko,Second,Milhouse,-1,-1,1,-1,-1,4,1
2,Top 16,2,Yarko,Milhouse,Milhouse,Yarko,Milhouse,First,Milhouse,1,-1,-1,1,1,2,3
2,Top 16,3,Yarko,Milhouse,Milhouse,Yarko,Tie,Tie,Milhouse,0,1,1,-1,-1,2,2
2,Top 16,4,Yarko,Milhouse,Milhouse,Yarko,Milhouse,First,Milhouse,1,-1,1,-1,1,2,3
3,Top 16,1,Sunni,Sapa,Sapa,Sunni,Sunni,Second,Sunni,1,-1,1,-1,-1,3,2
3,Top 16,2,Sunni,Sapa,Sapa,Sunni,Sunni,Second,Sunni,-1,-1,-1,1,1,3,2
4,Top 16,1,T Rock,Niek,Niek,T Rock,T Rock,Second,Niek,-1,-1,-1,-1,-1,5,0
4,Top 16,2,T Rock,Niek,Niek,T Rock,Niek,First,Niek,1,1,1,1,1,0,5
4,Top 16,3,T Rock,Niek,Niek,T Rock,Niek,First,Niek,1,1,1,1,1,0,5
5,Top 16,1,Kuzya,Shigekix,Shigekix,Kuzya,Kuzya,Second,Kuzya,-1,-1,1,-1,-1,4,1
5,Top 16,2,Kuzya,Shigekix,Shigekix,Kuzya,Kuzya,Second,Kuzya,-1,-1,1,-1,-1,4,1
6,Top 16,1,Mini Joe,Kleju,Mini Joe,Kleju,Kleju,Second,Kleju,-1,1,-1,1,1,2,3
6,Top 16,2,Mini Joe,Kleju,Mini Joe,Kleju,Kleju,Second,Kleju,1,1,-1,1,-1,2,3
7,Top 16,1,Thomaz,Klesio,Thomaz,Klesio,Thomaz,First,Thomaz,-1,-1,1,1,-1,3,2
7,Top 16,2,Thomaz,Klesio,Thomaz,Klesio,Thomaz,First,Thomaz,-1,-1,-1,-1,-1,5,0
8,Top 16,1,Hulk,Twister,Twister,Hulk,Hulk,Second,Hulk,-1,-1,0,1,-1,3,1
8,Top 16,2,Hulk,Twister,Twister,Hulk,Twister,First,Hulk,1,-1,1,1,1,1,4
8,Top 16,2,Hulk,Twister,Twister,Hulk,Hulk,Second,Hulk,-1,-1,1,-1,-1,4,1
9,Top 8,1,Sunni,Milhouse,Milhouse,Sunni,Milhouse,First,Sunni,1,-1,1,0,1,1,3
9,Top 8,2,Sunni,Milhouse,Milhouse,Sunni,Sunni,Second,Sunni,1,-1,1,-1,-1,3,2
9,Top 8,3,Sunni,Milhouse,Milhouse,Sunni,Sunni,Second,Sunni,-1,-1,-1,-1,1,4,1
10,Top 8,1,Kleju,Kuzya,Kuzya,Kleju,Kuzya,First,Kuzya,1,1,1,-1,1,1,4
10,Top 8,2,Kleju,Kuzya,Kuzya,Kleju,Kuzya,First,Kuzya,1,1,1,-1,1,1,4
11,Top 8,1,Niek,Lil G,Lil G,Niek,Niek,Second,Niek,-1,-1,1,1,-1,3,2
11,Top 8,2,Niek,Lil G,Lil G,Niek,Niek,Second,Niek,-1,-1,1,-1,-1,4,1
12,Top 8,1,Hulk,Thomaz,Thomaz,Hulk,Thomaz,First,Thomaz,-1,1,1,-1,1,2,3
12,Top 8,2,Hulk,Thomaz,Thomaz,Hulk,Thomaz,First,Thomaz,1,-1,1,1,-1,2,3
13,Semifinal,1,Sunni,Niek,Niek,Sunni,Sunni,Second,Sunni,1,-1,1,-1,-1,3,2
13,Semifinal,2,Sunni,Niek,Niek,Sunni,Sunni,Second,Sunni,-1,-1,-1,-1,-1,5,0
14,Semifinal,1,Thomaz,Kuzya,Thomaz,Kuzya,Kuzya,Second,Kuzya,1,1,-1,1,1,1,4
14,Semifinal,2,Thomaz,Kuzya,Thomaz,Kuzya,Thomaz,First,Kuzya,1,1,-1,-1,-1,3,2
14,Semifinal,3,Thomaz,Kuzya,Thomaz,Kuzya,Kuzya,Second,Kuzya,-1,1,1,1,1,1,4
15,Final,1,Sunni,Kuzya,Kuzya,Thomaz,NaN,NaN,Kuzya,NaN,NaN,NaN,NaN,NaN,NaN,NaN
