Competitor 1,Competitor 2,Nationality 1,Nationality 2,Round,Poe One Physical,Poe One Artistic,Poe One Interpretive,Goku Physical,Goku Artistic,Goku Interpretive,Storm Physical,Storm Artistic,Storm Interpretive,Crazy Legs Physical,Crazy Legs Artistic,Crazy Legs Interpretive,Narumi Physical,Narumi Artistic,Narumi Interpretive,Skim Physical,Skim Artistic,Skim Interpretive,Lil Cesar Physical,Lil Cesar Artistic,Lil Cesar Interpretive,Jeskilz Physical,Jeskilz Artistic,Jeskilz Interpretive,Renegade Physical,Renegade Artistic,Renegade Interpretive
Issei,Quick,Japan,China,Round 1,6.67,5,5.33,10.33,5,2.67,7,4.67,3.67,4.67,4.33,4,15,3.67,6,8,8.67,6,10.33,-2,3.67,NA,NA,NA,NA,NA,NA
Phil Wizard,Khalifa,Canada,France,Round 1,3,2.33,2.33,-5.33,3.67,-3.33,2.33,3.67,4,3.67,4,3,3.67,11,5,-1,4.33,1.33,-5,4,-2.67,NA,NA,NA,NA,NA,NA
Fleau,Lussy Sky,Canada,Ukraine,Round 1,2.33,-2.33,-2,1.67,-2.33,-5.33,-2.67,-5.67,-4.67,-4.67,-3.67,-4,3,-3.67,-1.33,-6.67,-6.67,-4.67,-3.67,-3,-2,NA,NA,NA,NA,NA,NA
Zeku,Wild Jerry,USA,Belarus,Round 1,-2.33,-2,-2.67,-3.67,0,-3.67,3.67,7,5,4,3,3.33,3.67,-7.33,-3,5,-6,-2.33,9.33,3.33,2.67,NA,NA,NA,NA,NA,NA
Hong 10,Ives,Korea,USA,Round 1,-3,2.33,2.33,-4,3,-3,0.67,1.33,0,2.33,2.67,2.67,5.67,-1.67,2.33,NA,NA,NA,-2.33,6.33,4.67,2,0,0,NA,NA,NA
Shigekix,Morris,Japan,USA,Round 1,1.33,1.33,2,4.67,-1,3.67,-1,1.67,3,5,4,3.33,6.33,0,3,3,-1,1.33,5.67,-1.33,4.67,NA,NA,NA,NA,NA,NA
Stripes,Heat Rock,USA,USA,Round 1,3,2.67,2.67,6.33,-1.33,6,3.33,-1,-1.67,-3.67,-2.67,-4.33,6.67,3.67,1.67,7,3,-2.33,10.33,-1.67,5.67,NA,NA,NA,NA,NA,NA
Vero,Gravity,South Korea,USA,Round 1,-3,-2.33,-2.67,-3.33,4.33,4.67,-4,-0.67,3.67,3,-2.67,3,6.33,3.33,0.67,NA,NA,NA,-3.33,3.67,-1.67,NA,NA,NA,-7,3,-5.67
Menno,Wingzero,Netherlands,Japan,Round 1,3.67,3,-2,1.67,-9.67,-5,2,2,-1.33,-3,2.33,-4.33,2.33,-5,1.67,5.33,4,-6,2.33,-2,-1.33,NA,NA,NA,NA,NA,NA
Bumblebee,Khalil,Russia,France,Round 1,-5.33,-3.33,-4.67,-4,-2.67,-3.33,0,-1,-1,-4,-3.67,-3,-3.33,-7.67,-0.33,3.33,-4.67,-2,4,3,-2,NA,NA,NA,NA,NA,NA
