,Competitor 1,Competitor 2,Nationality 1,Nationality 2,Round,First,Second,Round Winner,Round Winner Order,Battle Winner,Poe One,Goku,Storm,Crazy Legs,Narumi,Skim,Lil Cesar,Jeskilz,Renegade,Competitor 1 Votes,Competitor2
0,Issei,Quick,Japan,China,Round 1,Quick,Issei,Issei,Second,Issei,1,1,1,1,1,1,1,NaN,NaN,7,0
1,Phil Wizard,Khalifa,Canada,France,Round 1,Khalifa,Phil Wizard,Phil Wizard,Second,Phil Wizard,1,-1,1,1,1,1,-1,NaN,NaN,5,2
2,Fleau,Lussy Sky,Canada,Ukraine,Round 1,Fleau,Lussy Sky,Lussy Sky,Second,Lussy Sky,-1,-1,-1,-1,-1,-1,-1,NaN,NaN,0,7
3,Zeku,Wild Jerry,USA,Belarus,Round 1,Zeku,Wild Jerry,Wild Jerry,Second,Wild Jerry,-1,-1,1,1,-1,-1,1,NaN,NaN,3,4
4,Hong 10,Ives,Korea,USA,Round 1,Ives,Hong 10,Hong 10,Second,Hong 10,1,-1,1,1,1,NaN,1,1,NaN,6,1
5,Shigekix,Morris,Japan,USA,Round 1,Shigekix,Morris,Shigekix,First,Shigekix,1,1,1,1,1,1,1,NaN,NaN,7,0
6,Stripes,Heat Rock,USA,USA,Round 1,Stripes,Heat Rock,Stripes,First,Stripes,1,1,1,-1,1,1,1,NaN,NaN,6,1
7,Vero,Gravity,South Korea,USA,Round 1,Vero,Gravity,Gravity,Second,Gravity,-1,1,-1,1,1,NaN,-1,NaN,-1,3,4
8,Menno,Wingzero,Netherlands,Japan,Round 1,Menno,Wingzero,Wingzero,Second,Wingzero,1,-1,1,-1,-1,1,-1,NaN,NaN,3,4
9,Bumblebee,Khalil,Russia,France,Round 1,Bumblebee,Khalil,Khalil,Second,Khalil,-1,-1,-1,-1,-1,-1,1,NaN,NaN,1,6
10,Kuzya,Pocket,Russia,South Korea,Round 1,Kuzya,Pocket,Kuzya,First,Kuzya,-1,1,1,1,1,-1,-1,NaN,NaN,4,3
11,El Nino,Tata,USA,USA,Round 1,Tata,El Nino,El Nino,Second,El Nino,1,-1,1,1,1,1,1,NaN,NaN,6,1
12,Victor,Beetle,USA,Russia,Round 1,Victor,Beetle,Victor,First,Victor,1,1,-1,1,1,1,-1,NaN,NaN,5,2
13,Lil Kev,Kid Karam,France,United Kingdom,Round 1,Lil Kev,Kid Karam,Kid Karam,Second,Kid Karam,-1,-1,-1,1,1,-1,1,NaN,NaN,3,4
14,Dr Hill,Kazuki Rock,Mexico,Japan,Round 1,Dr Hill,Kazuki Rock,Kazuki Rock,Second,Kazuki Rock,-1,-1,-1,-1,NaN,-1,-1,-1,NaN,0,7
15,Thesis,Lil G,USA,Venezuela,Round 1,Thesis,Lil G,Thesis,First,Thesis,1,1,1,-1,1,1,-1,NaN,NaN,5,2
16,Issei,Phil Wizard,Japan,Canada,Round 1,Phil Wizard,Issei,Issei,Second,Issei,1,1,1,1,1,1,1,NaN,NaN,7,0
17,Issei,Phil Wizard,Japan,Canada,Round 2,Phil Wizard,Issei,Issei,Second,Issei,-1,1,-1,1,1,1,1,NaN,NaN,5,2
18,Lussy Sky,Wild Jerry,Ukraine,Belarus,Round 1,Wild Jerry,Lussy Sky,Wild Jerry,First,Wild Jerry,1,-1,-1,-1,1,1,-1,NaN,NaN,3,4
19,Lussy Sky,Wild Jerry,Ukraine,Belarus,Round 2,Wild Jerry,Lussy Sky,Wild Jerry,First,Wild Jerry,-1,-1,1,-1,1,1,-1,NaN,NaN,3,4
20,Hong 10,Shigekix,Korea,Japan,Round 1,Shigekix,Hong 10,Shigekix,First,Shigekix,1,-1,-1,-1,1,NaN,-1,-1,NaN,2,5
21,Hong 10,Shigekix,Korea,Japan,Round 2,Shigekix,Hong 10,Shigekix,First,Shigekix,-1,-1,1,-1,1,NaN,1,-1,NaN,3,4
22,Stripes,Gravity,USA,USA,Round 1,Stripes,Gravity,Stripes,First,Stripes,1,-1,-1,1,1,NaN,1,1,NaN,5,2
23,Stripes,Gravity,USA,USA,Round 2,Stripes,Gravity,Stripes,First,Stripes,1,1,1,-1,-1,NaN,1,1,NaN,5,2
24,Wingzero,Khalil,Japan,France,Round 1,Wingzero,Khalil,Khalil,Second,Khalil,-1,-1,-1,-1,-1,1,-1,NaN,NaN,1,6
25,Wingzero,Khalil,Japan,France,Round 2,Wingzero,Khalil,Khalil,Second,Khalil,-1,1,-1,-1,1,-1,1,NaN,NaN,3,4
26,El Nino,Kuzya,USA,Russia,Round 1,Kuzya,El Nino,Kuzya,First,Kuzya,-1,-1,-1,-1,-1,-1,-1,NaN,NaN,0,7
27,El Nino,Kuzya,USA,Russia,Round 2,Kuzya,El Nino,Kuzya,First,Kuzya,-1,-1,-1,-1,1,-1,-1,NaN,NaN,1,6
28,Victor,Kid Karam,USA,United Kingdom,Round 1,Kid Karam,Victor,Victor,Second,Victor,1,-1,1,1,1,1,1,NaN,NaN,6,1
29,Victor,Kid Karam,USA,United Kingdom,Round 2,Kid Karam,Victor,Victor,Second,Victor,1,1,1,1,1,1,1,NaN,NaN,7,0
30,Kazuki Rock,Thesis,Japan,USA,Round 1,Thesis,Kazuki Rock,Kazuki Rock,Second,Kazuki Rock,-1,1,1,1,NaN,1,1,NaN,-1,5,2
