Battle Number,Battle Label,Round,Competitor 1,Competitor 2,First,Second,Round Winner,Round Winner Order,Battle Winner,Kazuhiro,Danny,Hong 10,Mounir,Dong,Competitor 1 Votes,Competitor 2 Votes
1,Top 16,1,Sam,Bruce Almighty,Bruce Almighty,Sam,Bruce Almighty,First,Bruce Almighty,1,1,1,1,-1,1,4
1,Top 16,2,Sam,Bruce Almighty,Bruce Almighty,Sam,Bruce Almighty,First,Bruce Almighty,1,1,1,1,1,0,5
2,Top 16,1,PT,Shigekix,Shigekix,PT,Shigekix,First,Shigekix,1,1,1,1,1,0,5
2,Top 16,2,PT,Shigekix,Shigekix,PT,Shigekix,First,Shigekix,1,1,1,1,1,0,5
3,Top 16,1,Power Sour,Kaku,Kaku,Power Sour,Kaku,First,Kaku,1,1,1,1,-1,1,4
3,Top 16,2,Power Sour,Kaku,Kaku,Power Sour,Kaku,First,Kaku,1,-1,1,1,1,1,4
4,Top 16,1,Lil B,Issei,Lil B,Issei,Issei,Second,Issei,1,1,1,1,1,0,5
4,Top 16,2,Lil B,Issei,Lil B,Issei,Issei,Second,Issei,1,1,1,1,1,0,5
5,Top 16,1,Lazy,Malatya,Malatya,Lazy,Tie,Tie,Malatya,-1,1,-1,0,1,2,2
5,Top 16,2,Lazy,Malatya,Malatya,Lazy,Malatya,First,Malatya,-1,-1,1,1,-1,3,2
5,Top 16,3,Lazy,Malatya,Malatya,Lazy,Malatya,First,Malatya,-1,-1,-1,1,-1,4,1
5,Top 16,1,Harrien,Cheerito,Cheerito,Harrien,Harrien,Second,Cheerito,-1,-1,-1,-1,-1,5,0
6,Top 16,2,Harrien,Cheerito,Cheerito,Harrien,Cheerito,First,Cheerito,1,1,-1,-1,1,2,3
6,Top 16,3,Harrien,Cheerito,Cheerito,Harrien,Cheerito,First,Cheerito,1,1,1,1,1,0,5
7,Top 16,1,Gonza,Skim,Skim,Gonza,Skim,First,Skim,1,1,1,1,1,0,5
7,Top 16,2,Gonza,Skim,Skim,Gonza,Skim,First,Skim,1,1,1,1,1,0,5
8,Top 16,1,Davy,Leon,Leon,Davy,Leon,First,Leon,1,1,1,1,1,0,5
8,Top 16,2,Davy,Leon,Leon,Davy,Leon,First,Leon,1,1,1,1,1,0,5
9,Top 8,1,Shigekix,Kaku,Shigekix,Kaku,Shigekix,First,Shigekix,-1,-1,-1,-1,-1,5,0
9,Top 8,2,Shigekix,Kaku,Shigekix,Kaku,Kaku,Second,Shigekix,-1,1,1,1,1,1,4
9,Top 8,3,Shigekix,Kaku,Shigekix,Kaku,Shigekix,First,Shigekix,-1,-1,-1,-1,-1,5,0
10,Top 8,1,Malatya,Issei,Issei,Malatya,Issei,First,Issei,1,1,1,1,1,0,5
10,Top 8,2,Malatya,Issei,Issei,Malatya,Issei,First,Issei,1,1,1,1,1,0,5
11,Top 8,1,Leon,Cheerito,Cheerito,Leon,Cheerito,First,Cheerito,1,1,1,1,1,0,5
11,Top 8,2,Leon,Cheerito,Cheerito,Leon,Cheerito,First,Cheerito,1,-1,-1,1,1,2,3
12,Top 8,1,Skim,Bruce Almighty,Bruce Almighty,Skim,Bruce Almighty,First,Skim,1,1,-1,1,1,1,4
12,Top 8,2,Skim,Bruce Almighty,Bruce Almighty,Skim,Skim,Second,Skim,-1,-1,-1,-1,1,4,1
12,Top 8,3,Skim,Bruce Almighty,Bruce Almighty,Skim,Skim,Second,Skim,-1,-1,-1,-1,-1,5,0
13,Semifinal,1,Skim,Cheerito,Cheerito,Skim,Skim,Second,Skim,-1,1,-1,-1,1,3,2
13,Semifinal,2,Skim,Cheerito,Cheerito,Skim,Skim,Second,Skim,1,-1,-1,-1,-1,4,1
14,Semifinal,1,Shigekix,Issei,Issei,Shigekix,Issei,First,Issei,1,1,-1,1,-1,2,3
14,Semifinal,2,Shigekix,Issei,Issei,Shigekix,Issei,First,Issei,1,1,1,1,1,0,5
15,Final,1,Skim,Issei,Issei,Skim,Issei,First,Issei,1,1,1,1,1,0,5
15,Final,2,Skim,Issei,Issei,Skim,Skim,Second,Issei,-1,-1,-1,-1,-1,5,0
15,Final,3,Skim,Issei,Issei,Skim,Issei,First,Issei,1,-1,1,0,1,1,3
15,Final,4,Skim,Issei,Issei,Skim,Issei,First,Issei,1,1,-1,-1,1,2,3
