Battle Number,Battle Label,Round,Competitor 1,Competitor 2,First,Second,Round Winner,Round Winner Order,Battle Winner,AT,Mario B,Extremo,Competitor 1 Votes,Competitor 2 Votes
1,Top 16,1,Lagaet,Issei,Lagaet,Issei,Issei,Second,Issei,1,1,-1,1,2
1,Top 16,2,Lagaet,Issei,Lagaet,Issei,Issei,Second,Issei,1,1,-1,1,2
2,Top 16,1,Kill,Sunni,Sunni,Kill,Sunni,First,Sunni,1,1,1,0,3
2,Top 16,2,Kill,Sunni,Sunni,Kill,Kill,Second,Sunni,1,-1,-1,2,1
2,Top 16,3,Kill,Sunni,Sunni,Kill,Sunni,First,Sunni,1,1,1,0,3
3,Top 16,1,Dany,Hulk,Dany,Hulk,Dany,First,Dany,-1,-1,-1,3,0
3,Top 16,2,Dany,Hulk,Dany,Hulk,Dany,First,Dany,-1,-1,-1,3,0
4,Top 16,1,T Rock,Jazz,T Rock,Jazz,T Rock,First,T Rock,-1,-1,-1,3,0
4,Top 16,2,T Rock,Jazz,T Rock,Jazz,T Rock,First,T Rock,-1,-1,-1,3,0
5,Top 16,1,Pac Pac,Illz,Illz,Pac Pac,Pac Pac,Second,Pac Pac,-1,-1,-1,3,0
5,Top 16,2,Pac Pac,Illz,Illz,Pac Pac,Illz,First,Pac Pac,-1,1,-1,2,1
5,Top 16,3,Pac Pac,Illz,Illz,Pac Pac,Pac Pac,Second,Pac Pac,-1,-1,1,2,1
6,Top 16,1,MN Joe,Kuzya,Kuzya,MN Joe,Kuzya,First,Kuzya,1,1,-1,1,2
6,Top 16,2,MN Joe,Kuzya,Kuzya,MN Joe,MN Joe,Second,Kuzya,1,-1,-1,2,1
6,Top 16,3,MN Joe,Kuzya,Kuzya,MN Joe,Kuzya,First,Kuzya,1,1,-1,1,2
7,Top 16,1,Daniel,Moa,Daniel,Moa,Moa,Second,Moa,1,-1,1,1,2
7,Top 16,2,Daniel,Moa,Daniel,Moa,Moa,Second,Moa,1,1,1,0,3
8,Top 16,1,Alkolil,Kleju,Alkolil,Kleju,Alkolil,First,Alkolil,1,1,1,0,3
8,Top 16,2,Alkolil,Kleju,Alkolil,Kleju,Alkolil,First,Alkolil,1,1,1,0,3
9,Top 8,1,Alkolil,Kuzya,Alkolil,Kuzya,Kuzya,Second,Kuzya,1,1,1,0,3
9,Top 8,2,Alkolil,Kuzya,Alkolil,Kuzya,Kuzya,Second,Kuzya,1,-1,1,1,2
10,Top 8,1,Dany,Issei,Issei,Dany,Dany,Second,Issei,1,-1,-1,2,1
10,Top 8,2,Dany,Issei,Issei,Dany,Issei,First,Issei,1,1,1,0,3
10,Top 8,3,Dany,Issei,Issei,Dany,Issei,First,Issei,1,1,1,0,3
11,Top 8,1,Sunni,Pac Pac,Pac Pac,Sunni,Sunni,Second,Sunni,-1,-1,-1,3,0
11,Top 8,2,Sunni,Pac Pac,Pac Pac,Sunni,Sunni,Second,Sunni,-1,-1,-1,3,0
12,Top 8,1,T Rock,Moa,Moa,T Rock,T Rock,Second,Moa,-1,-1,1,2,1
12,Top 8,2,T Rock,Moa,Moa,T Rock,Moa,First,Moa,-1,1,1,1,2
12,Top 8,3,T Rock,Moa,Moa,T Rock,Moa,First,Moa,1,1,1,0,3
13,Semifinal,1,Sunni,Issei,Sunni,Issei,Issei,Second,Issei,-1,1,1,1,2
13,Semifinal,2,Sunni,Issei,Sunni,Issei,Issei,Second,Issei,-1,1,1,1,2
14,Semifinal,1,Moa,Kuzya,Moa,Kuzya,Kuzya,Second,Kuzya,1,-1,1,1,2
14,Semifinal,2,Moa,Kuzya,Moa,Kuzya,Kuzya,Second,Kuzya,1,-1,1,1,2
15,Final,1,Kuzya,Issei,Kuzya,Issei,Kuzya,First,Kuzya,-1,-1,-1,3,0
15,Final,2,Kuzya,Issei,Kuzya,Issei,Kuzya,First,Kuzya,-1,1,-1,2,1
15,Final,3,Kuzya,Issei,Kuzya,Issei,Kuzya,First,Kuzya,-1,-1,-1,3,0
